label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
A,0.0,0.0,0.0,-0.3488888743326228,-0.10703906032355746,-0.10624575078524635,-0.6146289194145257,-0.5330032432467773,-0.1267314978136868,-0.690907533936015,-1.0001159710953058,-0.15086330124419425,-0.7446454338032847,-1.3221395187312706,-0.14049751638329694,-0.4806265656406663,-0.9411433299280602,0.036858357178315565,-0.5283087823221609,-1.230275271643212,-0.10923559193839805,-0.4785632715376037,-0.8617796684760292,-0.15640246412786196,-0.4408161100019717,-0.7705245432658907,-0.16505520693326423,-0.26766649231145434,-0.9630533226377667,0.029714418218097654,-0.31422536617484903,-1.1840030515667954,-0.11288384318594143,-0.302496111949091,-0.7516112462465974,-0.10748275524408724,-0.27961996916397364,-0.7437379522958456,-0.06584773414155523,-0.0638085476892285,-0.9470065634882557,-0.016288514132944586,-0.10646491661799094,-1.1813873531800276,-0.17591606880435287,-0.11835373262599985,-0.773592310143158,-0.09601502730848466,-0.09316568593909884,-0.7288523012421552,0.00036081590402778027,0.14237175247990658,-0.921149193447511,-0.07437893737870313,0.08678878885979689,-1.0977557972797731,-0.14716127628247963,0.04937970320516109,-0.814672013565906,-0.07736345690254502,0.06496185189002184,-0.738861354035507,-0.00246228619424148
A,0.0,0.0,0.0,-0.3341194112478275,-0.1138403444290149,-0.11788817265702253,-0.6025584579165306,-0.5084849858427041,-0.14615455120856607,-0.6984269013379099,-0.9522292490910657,-0.175701063692705,-0.755647437268332,-1.2714376680576582,-0.1693915535854757,-0.4753479066391191,-0.9346916690244479,0.03521866722477571,-0.5394575326170592,-1.1977986357113253,-0.10820539497293181,-0.4769602468630063,-0.8344006957656032,-0.15581224658096884,-0.43299565199062356,-0.7603841980292796,-0.16560433252871135,-0.26933126280360375,-0.9624277482245961,0.0345470740287735,-0.32764217726506784,-1.1634312578523411,-0.10931562094480493,-0.3006590874358413,-0.7437002832605245,-0.1061616285876065,-0.2752830682916263,-0.7519590373994963,-0.06460569833368156,-0.07083425094370609,-0.9510574700516017,-0.005337304650013904,-0.12635494457048932,-1.162601305479419,-0.16399731384572824,-0.12301308621876857,-0.7723235864008492,-0.08462009167694722,-0.09023835714892553,-0.7484645010924561,0.012295198077467609,0.13039473947908842,-0.9288857465600366,-0.05824201077988651,0.05385801543942559,-1.0914307747521983,-0.13020076225225566,0.03167159270783886,-0.8170719558449537,-0.05829593254981273,0.06313628667876883,-0.7568569351123798,0.019847901176382868
A,0.0,0.0,0.0,-0.34710596925742887,-0.08936947741207549,-0.11633782900948689,-0.6176105794005924,-0.5057624624743107,-0.14088722013931948,-0.7082101635996518,-0.9703690745246185,-0.16578745569154002,-0.762139645325911,-1.2870828397827874,-0.1549290103281602,-0.504272537682905,-0.9236945652907036,0.03032268238129067,-0.5394445165371744,-1.2090989887842765,-0.11322044586863604,-0.46438284061342033,-0.8418965633698299,-0.15516046816547782,-0.4344366245379633,-0.7538191080254438,-0.16015429602004927,-0.28619956836564653,-0.9577810477053901,0.027299665266868913,-0.319221616844917,-1.178782129179117,-0.1146404244161282,-0.2873950421759802,-0.7449047211947399,-0.10838688388050255,-0.2897541840017646,-0.7462826895881576,-0.0663700329191324,-0.08012346216005872,-0.9511083332980362,-0.014614338122770004,-0.10759971088445028,-1.1821337531643377,-0.17695167843294732,-0.1061124719157237,-0.7700194249888448,-0.09612149151058952,-0.10540624191023391,-0.7311815808959112,-0.00043366007575637155,0.12528995263925682,-0.9290916552846188,-0.0690203921368423,0.09425456478791935,-1.1065105989415833,-0.14857361173442188,0.06988143077139643,-0.8023363743353324,-0.07814140178002607,0.06749415848702664,-0.7179599826426145,-0.00237829294875179
A,0.0,0.0,0.0,-0.3410215185780599,-0.12579413235509473,-0.10001756761446177,-0.6067408397488143,-0.5224637194399794,-0.1220963135874254,-0.6998916536256027,-0.9567825202685123,-0.15068136553599668,-0.7468728156583034,-1.2697464789925996,-0.14488614326876148,-0.4730188448680352,-0.9318354236753346,0.05585498934278664,-0.5433483781567453,-1.205263533131248,-0.09015332756413226,-0.4763303705293124,-0.8512459832686792,-0.14035552845122654,-0.4239593398970154,-0.754289784209429,-0.1486519617444618,-0.26592443274457983,-0.9629073836432049,0.045755508901892825,-0.3267400841971342,-1.1687748962437172,-0.09598742713146073,-0.29172018021979335,-0.7501490157728292,-0.0929682884375516,-0.26195540510839205,-0.7430037607156889,-0.05013971947481224,-0.06460497956831107,-0.9523105573777847,-0.003253411400255622,-0.12291684562819256,-1.1699312842998244,-0.16001991118506514,-0.1157834588377473,-0.7743312374841721,-0.07830876249571891,-0.08559533567199715,-0.7355038539243643,0.02132116288161179,0.13723179040919864,-0.9234030900017733,-0.06418250570183212,0.06874686501824684,-1.1031562270729744,-0.1344121186569692,0.045048589334731534,-0.8180469506557063,-0.058386218781261025,0.0707468773963779,-0.7404659064162675,0.023500069745172
A,0.0,0.0,0.0,-0.34642265818355156,-0.09686213960520183,-0.11079862966703205,-0.6174705682046265,-0.49161302381264704,-0.13424896823614643,-0.7100317782009694,-0.9425708859894945,-0.1585780975005995,-0.7642706685946239,-1.26138687831417,-0.1466942657676925,-0.4992362667220169,-0.9224541418762514,0.04153212454708002,-0.5537803484643924,-1.1794301283144313,-0.09360289588897573,-0.4826053561257678,-0.8234246287804051,-0.13649011717765316,-0.4412288963776007,-0.7598994600842127,-0.14607749882350027,-0.2921406262859739,-0.9556021251648489,0.03845039471401178,-0.33733566579591034,-1.1555120610409881,-0.09694888482934123,-0.30531158826758287,-0.7390579387050601,-0.09250269186221191,-0.2880060002164318,-0.7547247062716965,-0.054234638356897784,-0.09303980235760698,-0.9457789438876797,-0.00250820455967672,-0.13365015249578321,-1.1548632684884401,-0.15666718981331773,-0.1326669437047595,-0.7636101860861739,-0.07857705798788202,-0.11270049902453928,-0.7461041987909925,0.013821361326986206,0.1055903616795721,-0.925027045503774,-0.055621846457240956,0.052443925498166254,-1.0849143298580843,-0.12468753237784024,0.022407975469989537,-0.7983610849947306,-0.05304211499089188,0.03511634919662853,-0.7324798335197651,0.02206083082451373
A,0.0,0.0,0.0,-0.35612913940852053,-0.12188531279616165,-0.09329759885024191,-0.6155800021971409,-0.5288102648450977,-0.11167632819429553,-0.7007007234539333,-0.9706780463621772,-0.1374503552483618,-0.7520711288570595,-1.285618314915494,-0.13175156107761032,-0.4715704609205619,-0.9298493933454004,0.0545502305769478,-0.5408111543481875,-1.2159379688195056,-0.08356179670866866,-0.47881276516578675,-0.8594194429897297,-0.13377061816873323,-0.4274054034514069,-0.7446665566704678,-0.14390799275660882,-0.26194392705009056,-0.9641284251616001,0.042915718297493737,-0.32554389798188016,-1.18424998504787,-0.08725563134668497,-0.2951199333311706,-0.7697877862389909,-0.08512671418661973,-0.25711836732776977,-0.7354291779977928,-0.0485344172889645,-0.06095440878824963,-0.9507060628283349,-0.005638260098643968,-0.11749260917921453,-1.1888172753766018,-0.15358121873034805,-0.11785169425714309,-0.7922541083898639,-0.07709502631890493,-0.08527364392404897,-0.7220994188352553,0.014518037617140225,0.1430611375494633,-0.918586922092073,-0.06516124402564197,0.08148116177608418,-1.116583403927552,-0.1332081229341557,0.04767052642588906,-0.8321601279808591,-0.061745940149657015,0.06358552823543756,-0.7288801231774648,0.01370957074137454
A,0.0,0.0,0.0,-0.36259555934964716,-0.01983325458669245,-0.11759103361922689,-0.6686072403225963,-0.4617393379320956,-0.13866957290516096,-0.7631061559535446,-0.9567973673946181,-0.1579536087990038,-0.8016350096488581,-1.2820996451137892,-0.14457806153818367,-0.5412684834962016,-0.9124146896472383,0.0013195809699016563,-0.5823487552797098,-1.2262526405101712,-0.14667568733682876,-0.5177243961017395,-0.8464536073358194,-0.19252047952236898,-0.4794422451580677,-0.7413867573854387,-0.20214583805001424,-0.31969574450635463,-0.947517050893349,-0.002463576850503887,-0.35375042767844933,-1.1910870598461785,-0.15031815496014458,-0.3247425653380625,-0.7396483704155865,-0.14552129892853022,-0.3174793893329344,-0.7044813195325733,-0.10525771543317806,-0.10859861008145218,-0.9435324633039603,-0.04326174490356067,-0.1334458996156951,-1.1772922888205284,-0.21519289243730785,-0.1298667984321633,-0.738196676154734,-0.1350639894015222,-0.1271032277393089,-0.6698076741528435,-0.039084351872935255,0.10706370142403877,-0.9296815299117268,-0.09515758642833431,0.0654106323101395,-1.111800794464261,-0.180985912952426,0.0513818024164242,-0.7926468256669645,-0.10973306213161334,0.05533992606344373,-0.6961181256562989,-0.03455366061724662
A,0.0,0.0,0.0,-0.3534040082824024,-0.060721196192127104,-0.12471788651952281,-0.6275980485052605,-0.4826849011912964,-0.14280907768414103,-0.7130460407801595,-0.9546650940395351,-0.15911752834220086,-0.7694094268451439,-1.2657568750648798,-0.13855985654708605,-0.515643797261467,-0.9230508773794273,0.032323591995203016,-0.5544835994247351,-1.2049731190740014,-0.11357127834516567,-0.489405733147356,-0.8318803023289996,-0.1571874908607351,-0.4550708065151289,-0.7685184841075737,-0.16450549100965908,-0.293455475481687,-0.9554024161323355,0.033016770864404146,-0.33676210427789455,-1.1743138300025784,-0.11396373776603393,-0.3211555008153648,-0.7310367568465839,-0.109336298825167,-0.3048142828595251,-0.7557896313876051,-0.06602953643030034,-0.08712428136991467,-0.9430457870896755,-0.0076224087351035,-0.12160598839556748,-1.1630829923269697,-0.17293601172550055,-0.1364367933514862,-0.7456013620210277,-0.09871613171356539,-0.11706833666016926,-0.7388317932741413,-0.005622203011252681,0.12261150534315149,-0.9278632792104805,-0.06194197857729084,0.08325583422434843,-1.0895770813622303,-0.1381905364139678,0.042749860837844406,-0.7888742170762237,-0.07324150377681335,0.05434950206508969,-0.7280583974071697,-0.0016314712038960836
A,0.0,0.0,0.0,-0.3551576747876819,-0.11081458474990229,-0.11846376348869628,-0.6161805078080492,-0.5028683782218994,-0.1420412743130919,-0.7044285781583648,-0.9530784910221,-0.16563397159219861,-0.7576662973887189,-1.269796183780021,-0.15196501291872047,-0.4966984978510203,-0.9256832413254775,0.05009826445353819,-0.5506438501408022,-1.1917818333511627,-0.08987496642886858,-0.4776792048912896,-0.8262428931783625,-0.13622967758847865,-0.43588329502092343,-0.7640043433636008,-0.1458980068459817,-0.2848875803098431,-0.9571256115399687,0.05243691752423901,-0.331381259721021,-1.169996933730743,-0.08976352362646463,-0.3022235453262769,-0.7379017535459643,-0.09014775660474832,-0.2852039880038696,-0.7560834229669513,-0.05106495824471228,-0.084478764425969,-0.9495961951592656,0.014949691778391738,-0.12681274849903448,-1.1735518180605908,-0.14422170612112042,-0.12962920888421472,-0.7709792451594402,-0.06880526261782875,-0.10568253833446253,-0.7533250612204364,0.025718664565778624,0.11435539722721967,-0.9326575858202266,-0.03554706830277563,0.06365911029397517,-1.099223178392532,-0.10504484143251987,0.03109377838249899,-0.8073222425116177,-0.034179926003851946,0.046864284636237444,-0.7410042487157489,0.04251222105736145
A,0.0,0.0,0.0,-0.354838854416144,-0.08779937656688719,-0.10294263982324084,-0.6353907352064838,-0.4983522317501792,-0.1263740642729896,-0.7302723350404144,-0.9633018381439455,-0.1548962254197848,-0.7778725298197333,-1.285695159584978,-0.15137289564278816,-0.5108407179665788,-0.9156011175666814,0.03382156471002822,-0.5663665402256306,-1.221543934579345,-0.11352958836258917,-0.49642199178819296,-0.8672411213246188,-0.16170865624852956,-0.45935068105180127,-0.7497714470130906,-0.16883828574618673,-0.29392846542311984,-0.9555658355866679,0.022360480172908065,-0.3433136801627888,-1.181693194010842,-0.11653997440746207,-0.3029540910228157,-0.7646061619611034,-0.1122703761820675,-0.29408569066393503,-0.7360750601655521,-0.0735190913281427,-0.08212162164236059,-0.952684578183688,-0.02675754115426351,-0.12761337821067362,-1.1841102970460424,-0.18589550675758623,-0.1102457024373102,-0.7811817812315192,-0.10479846176646035,-0.0998720186550957,-0.7208286956909891,-0.01000568646431365,0.13237237073441066,-0.9307873112039132,-0.08704814611453292,0.07352239899567603,-1.1141288650424523,-0.16367050036425831,0.06407499896891751,-0.8168781304783161,-0.08938342729746702,0.07512849749982703,-0.7240952778791867,-0.012025587166384999
